Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2017-03-13,"Walking, 3.5 mph, brisk pace",Cardio,47.0,10,,,,,
2017-03-13,"Walking, 3.5 mph, brisk pace",Cardio,94.0,20,,,,,
2017-03-14,Spinning®,Cardio,260.0,30,,,,,
2017-03-14,"Walking, 3.5 mph, brisk pace",Cardio,94.0,20,,,,,
2017-03-14,"Walking, 3.5 mph, brisk pace",Cardio,47.0,10,,,,,
2017-03-15,"Walking, 3.5 mph, brisk pace",Cardio,94.0,20,,,,,
2017-03-16,"Walking, 3.5 mph, brisk pace",Cardio,70.0,15,,,,,
2019-07-12,"Walking, 3.5 mph, brisk pace",Cardio,321.0,65,,,,,
2019-07-17,"Walking, 3.5 mph, brisk pace",Cardio,321.0,65,,,,,
2019-07-18,"Walking, 3.5 mph, brisk pace",Cardio,321.0,65,,,,,
2019-07-22,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-07-22,cross trainer,Cardio,109.0,10,,,,,
2019-07-23,"Walking, 3.5 mph, brisk pace",Cardio,321.0,65,,,,,
2019-07-23,cross trainer,Cardio,109.0,10,,,,,
2019-07-25,"Walking, 3.5 mph, brisk pace",Cardio,321.0,65,,,,,
2019-07-26,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-07-26,cross trainer,Cardio,109.0,10,,,,,
2019-07-27,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-07-27,cross trainer,Cardio,109.0,10,,,,,
2019-07-29,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-07-29,cross trainer,Cardio,109.0,10,,,,,
2019-07-31,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-07-31,cross trainer,Cardio,109.0,10,,,,,
2019-08-01,"Walking, 3.5 mph, brisk pace",Cardio,411.0,85,,,,,
2019-08-02,"Walking, 3.5 mph, brisk pace",Cardio,145.0,30,,,,,
2019-08-02,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-02,cross trainer,Cardio,109.0,10,,,,,
2019-08-03,"Walking, 3.5 mph, brisk pace",Cardio,97.0,20,,,,,
2019-08-03,cross trainer,Cardio,109.0,10,,,,,
2019-08-05,"Walking, 3.5 mph, brisk pace",Cardio,97.0,20,,,,,
2019-08-05,cross trainer,Cardio,109.0,10,,,,,
2019-08-06,"Rowing, stationary, moderate effort",Cardio,107.0,12,,,,,
2019-08-06,"Walking, 3.5 mph, brisk pace",Cardio,97.0,20,,,,,
2019-08-07,"Walking, 3.5 mph, brisk pace",Cardio,361.0,75,,,,,
2019-08-08,"Walking, 3.5 mph, brisk pace",Cardio,192.0,40,,,,,
2019-08-09,"Walking, 3.5 mph, brisk pace",Cardio,313.0,65,,,,,
2019-08-12,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-12,cross trainer,Cardio,109.0,10,,,,,
2019-08-13,"Walking, 3.5 mph, brisk pace",Cardio,408.0,85,,,,,
2019-08-14,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-14,cross trainer,Cardio,109.0,10,,,,,
2019-08-16,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-16,cross trainer,Cardio,109.0,10,,,,,
2019-08-17,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-17,cross trainer,Cardio,109.0,10,,,,,
2019-08-19,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-19,cross trainer,Cardio,109.0,10,,,,,
2019-08-21,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-21,cross trainer,Cardio,109.0,10,,,,,
2019-08-23,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-08-23,cross trainer,Cardio,109.0,10,,,,,
2019-10-23,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-10-23,cross trainer,Cardio,109.0,10,,,,,
2019-10-25,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-11-04,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-11-05,"Walking, 3.5 mph, brisk pace",Cardio,96.0,20,,,,,
2019-11-07,"Walking, 3.5 mph, brisk pace",Cardio,219.0,45,,,,,
2019-11-11,"Walking, 3.5 mph, brisk pace",Cardio,219.0,45,,,,,
2019-11-18,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2019-11-19,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,85.0,20,,,,,
2020-03-07,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,109.0,25,,,,,
2020-03-07,cross trainer,Cardio,224.0,20,,,,,
2020-03-08,"Walking, 3.5 mph, brisk pace",Cardio,455.0,90,,,,,
2020-03-09,"Walking, 3.5 mph, brisk pace",Cardio,126.0,25,,,,,
2020-03-12,"Walking, 3.5 mph, brisk pace",Cardio,126.0,25,,,,,
2020-03-13,"Walking, 3.5 mph, brisk pace",Cardio,126.0,25,,,,,
2020-03-14,cross trainer,Cardio,224.0,20,,,,,
2020-03-17,"Walking, 3.5 mph, brisk pace",Cardio,126.0,25,,,,,
2020-03-19,"Walking, 3.5 mph, brisk pace",Cardio,126.0,25,,,,,
2020-03-23,"Walking, 3.5 mph, brisk pace",Cardio,149.0,30,,,,,
2020-03-24,"Walking, 3.5 mph, brisk pace",Cardio,149.0,30,,,,,
2020-03-26,"Walking, 3.5 mph, brisk pace",Cardio,149.0,30,,,,,
2020-03-27,"Rowing, stationary, moderate effort",Cardio,107.0,12,,,,,
2020-03-27,"Walking, 4.5 mph, very, very brisk pace",Cardio,181.0,22,,,,,
2020-04-03,"Walking, 4.5 mph, very, very brisk pace",Cardio,289.0,35,,,,,
2020-04-04,"Walking, 3.5 mph, brisk pace",Cardio,149.0,30,,,,,
2020-04-05,"Walking, 4.5 mph, very, very brisk pace",Cardio,371.0,45,,,,,
2020-04-06,"Walking, 4.5 mph, very, very brisk pace",Cardio,371.0,45,,,,,
2020-04-07,"Walking, 4.5 mph, very, very brisk pace",Cardio,371.0,45,,,,,
2020-04-08,"Walking, 3.5 mph, brisk pace",Cardio,220.0,45,,,,,
2020-04-09,"Walking, 3.5 mph, brisk pace",Cardio,220.0,45,,,,,
2020-04-10,"Walking, 3.5 mph, brisk pace",Cardio,220.0,45,,,,,
2020-04-11,"Walking, 3.5 mph, brisk pace",Cardio,147.0,30,,,,,
2020-04-12,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-13,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-14,"Walking, 4.0 mph, very brisk pace",Cardio,258.0,40,,,,,
2020-04-15,"Walking, 4.0 mph, very brisk pace",Cardio,193.0,30,,,,,
2020-04-16,"Walking, 4.0 mph, very brisk pace",Cardio,193.0,30,,,,,
2020-04-17,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-19,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-20,"Walking, 4.0 mph, very brisk pace",Cardio,193.0,30,,,,,
2020-04-22,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-23,"Walking, 4.0 mph, very brisk pace",Cardio,193.0,30,,,,,
2020-04-24,"Walking, 4.0 mph, very brisk pace",Cardio,354.0,55,,,,,
2020-04-25,"Walking, 4.0 mph, very brisk pace",Cardio,193.0,30,,,,,
2020-04-25,cross trainer,Cardio,224.0,20,,,,,
2020-04-26,"Walking, 4.0 mph, very brisk pace",Cardio,322.0,50,,,,,
2020-04-28,cross trainer,Cardio,224.0,20,,,,,
2020-04-29,"Walking, 4.0 mph, very brisk pace",Cardio,224.0,35,,,,,
2020-05-01,"Walking, 4.0 mph, very brisk pace",Cardio,321.0,50,,,,,
2020-05-02,"Walking, 4.0 mph, very brisk pace",Cardio,321.0,50,,,,,
2020-05-03,"Walking, 4.0 mph, very brisk pace",Cardio,224.0,35,,,,,
2020-05-04,"Walking, 4.0 mph, very brisk pace",Cardio,256.0,40,,,,,
2020-05-05,"Walking, 4.0 mph, very brisk pace",Cardio,320.0,50,,,,,
2020-05-06,"Walking, 4.0 mph, very brisk pace",Cardio,320.0,50,,,,,
2020-05-07,"Walking, 4.0 mph, very brisk pace",Cardio,224.0,35,,,,,
2020-05-08,"Walking, 4.0 mph, very brisk pace",Cardio,224.0,35,,,,,
2020-05-09,"Walking, 4.0 mph, very brisk pace",Cardio,320.0,50,,,,,
2020-05-10,"Walking, 4.0 mph, very brisk pace",Cardio,256.0,40,,,,,
2020-05-11,"Walking, 4.0 mph, very brisk pace",Cardio,256.0,40,,,,,
2020-05-12,"Walking, 4.0 mph, very brisk pace",Cardio,224.0,35,,,,,
2020-05-13,"Walking, 4.0 mph, very brisk pace",Cardio,288.0,45,,,,,
2020-05-16,"Walking, 4.0 mph, very brisk pace",Cardio,288.0,45,,,,,
2020-05-18,"Walking, 4.0 mph, very brisk pace",Cardio,445.0,70,,,,,
2020-05-19,"Walking, 4.0 mph, very brisk pace",Cardio,254.0,40,,,,,
2020-05-20,"Walking, 4.0 mph, very brisk pace",Cardio,222.0,35,,,,,
2020-05-21,"Walking, 4.0 mph, very brisk pace",Cardio,285.0,45,,,,,
2020-05-22,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,1257.0,300,,,,,
2020-05-24,"Walking, 4.0 mph, very brisk pace",Cardio,285.0,45,,,,,
2020-05-25,"Walking, 4.0 mph, very brisk pace",Cardio,285.0,45,,,,,
2020-05-26,"Walking, 4.0 mph, very brisk pace",Cardio,285.0,45,,,,,
2020-05-27,"Walking, 4.0 mph, very brisk pace",Cardio,285.0,45,,,,,
2020-05-28,"Walking, 4.0 mph, very brisk pace",Cardio,189.0,30,,,,,
2020-05-29,"Walking, 4.0 mph, very brisk pace",Cardio,284.0,45,,,,,
2020-06-01,"Walking, 4.0 mph, very brisk pace",Cardio,284.0,45,,,,,
2020-06-01,"Walking, 4.0 mph, very brisk pace",Cardio,284.0,45,,,,,
2020-10-04,"Running (jogging), 7 mph (8.5 min mile)",Cardio,107.0,8,,,,,
2020-10-04,"Walking, 4.0 mph, very brisk pace",Cardio,284.0,45,,,,,
2020-10-05,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2020-10-06,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2020-10-08,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2020-10-12,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2021-04-15,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2021-04-16,"Walking, 3.5 mph, brisk pace",Cardio,251.0,50,,,,,
2021-04-18,"Running (jogging), 10 mph (6 min mile)",Cardio,169.0,8,,,,,
2021-04-18,"Walking, 4.0 mph, very brisk pace",Cardio,130.0,20,,,,,
2021-04-19,"Walking, 3.5 mph, brisk pace",Cardio,151.0,30,,,,,
2021-04-20,"Walking, 3.5 mph, brisk pace",Cardio,276.0,55,,,,,
2021-04-21,"Walking, 3.5 mph, brisk pace",Cardio,151.0,30,,,,,
